Index,Name,Attribute,State,Signal,Event,Period (msec),resolution,unit,min,max,Target Lost Value,Error Value,remarks,CANID,[byte][bit],other
28+16i,neighboring vehicle brake light status,,〇,,,66~100,1,-,0,1,-1,-1,"0:OFF
1:ON
*Vehicle ID (Max 64)",0x739+i*3,[7][3],
29+16i,Neighboring Vehicle Length Estimation,,〇,,,66~100,0.5,m,0,31,0,0,*Vehicle ID (Max 64),0x73A+i*3,[0][7:0],
30+16i,Neighboring Vehicle Width Estimation,,〇,,,66~100,0.05,m,0,12.5,-1,-1,*Vehicle ID (Max 64),0x73A+i*3,[1][7:0],
31+16i,Number of detections,,,,,66~100,1,-,0,255,-1,-1,"Detection counter
*Vehicle ID (Max 64)",0x73A+i*3,[2][7:0],
32+16i,Cruising Lane,,,,,66~100,1,-,0,3,0,3,"0:not assigned,1:ego lane,2:next lane(left or right), or next next lane,3:invalid signal
*Vehicle ID (Max 64)",0x73A+i*3,[3][1:0],
33+16i,Neighboring vehicle speed,,,〇,,66~100,0.0625,m/s,0,245,-2048,-2048,*Vehicle ID (Max 64),0x73B+i*3,[5][7:0]+[6][3:0]<<8,
34+16i,Relative Acceleration,,,〇,,66~100,0.03,m/s2,-14.97,14.97,-983.04,-983.04,*Vehicle ID (Max 64),0x73B+i*3,[4][7:0]+[5][1:0]<<8,
35+16i,Neighboring vehicle eccentricy (yaw),,〇,,,66~100,0.01,deg,-327.67,327.67,-327.68,-327.68,"Directly ahead: 0
clockwise: +
counterclockwise: -
*Vehicle ID (Max 64)",0x73B+i*3,[6][7:0]+[7][7:0]<<8,
1043+7k,Object ID,,,,,66~100,1,-,0,255,-1,-1,Pedestrian/Bicyle ID (Max64),0x739+i*3,[0][7:0],
1044+7k,Pedestrian/Bicycle Detection,,〇,,,66~100,1,-,0,2,0,0,"0: Unknown
1: Pedestrian Detected
2: Bicyle Detected
Pedestrian/Bicyle ID (Max64)",0x739+i*3,[6][6:4],"0: Ordinary Car
1: Truck
2: Motorcyle
3: Pedestrian
4: Bicycle
5: Unknown"
1045+7k,Pedestrian/Bicycle Distance,,〇,,,66~100,0.0625,m,0,250,-1,-1,Pedestrian/Bicyle ID (Max64),0x739+i*3,[1][7:0]+[2}[3:0]<<8,
1046+7k,"Pedestrian/Bicycle Distance
Lateral Position",,〇,,,66~100,0.0625,m,-31.93,31.93,-2048,-2048,"Right Direction: +
Left Direction: -
Pedestrian/Bicyle ID (Max64)",0x739+i*3,[3][7:0]+[4][1:0]<<8,
1047+7k,Pedestrian/Bicycle TTC,,〇,,,66~100,0.0625,s,0.0625,20,-2048,-2048,Pedestrian/Bicyle ID (Max64),"Micro Processing
(0x739+i*3)",[5][7:0]+[6][3:0]<<8,Calculated by forward distance/relative speed
1048+7k,Number of detections,,,,,66~100,1,-,0,255,-1,-1,"Detections Counter
Pedestrian/Bicyle ID (Max64)",0x73A+i*3,[2][7:0],
1049+7k,Pedestrian/Bicycle Direction of Travel,,〇,,,66~100,1,-,0,4,0,0,"0: Unknown
1: Crossing (moving right)
2: Crossing (moving left)
3: moving towards ego vehicle
4: moving away
Pedestrian/Bicyle ID (Max64)",処理,,
